"BehaviorSpace results (NetLogo 6.0.2)"
"FP-Johnson.nlogo"
"Impact of Fishing Regulations in  NJ"
"05/14/2018 12:12:31:516 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","833","0","291"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"RI-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NJ-num","0","0","0","0","0","0","2","2","2","2","2","2","8","8","8","8","8","8"
"NY-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ME-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"num-boats","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"CT-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NH-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MA-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RI-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NJ-min","0","0","30","30","50","50","0","0","30","30","50","50","0","0","30","30","50","50"
"NY-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"natural-mortality?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"MA-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ME-num","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"approx-init-pop","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000","10000000"
"CT-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NH-min","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[steps]","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"

"[initial & final values]","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population","fish-population"
,"9507683","9470522","9439029","9410900","9445899","9461695","8920517","9049272","9307713","9054477","9278536","9327292","8555174","8961214","7729179","8538757","9253401","8268385"
