"BehaviorSpace results (NetLogo 6.0.2)"
"FP-Johnson.nlogo"
"Impact of Fishing Regulations in  NJ"
"05/14/2018 11:55:06:490 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","833","0","291"
"[run number]","RI-num","NJ-num","NY-num","ME-min","num-boats","CT-num","NH-num","MA-num","RI-min","NJ-min","NY-min","natural-mortality?","MA-min","ME-num","approx-init-pop","CT-min","NH-min","[step]","fish-population"
"2","0","0","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","9470522"
"1","0","0","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","9507683"
"4","0","0","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","9410900"
"3","0","0","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","9439029"
"5","0","0","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","9445899"
"7","0","2","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","8920517"
"6","0","0","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","9461695"
"8","0","2","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","9049272"
"9","0","2","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","9307713"
"10","0","2","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","9054477"
"12","0","2","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","9327292"
"11","0","2","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","9278536"
"13","0","8","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","8555174"
"14","0","8","0","0","100","0","0","0","0","0","0","true","0","0","10000000","0","0","40","8961214"
"15","0","8","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","7729179"
"16","0","8","0","0","100","0","0","0","0","30","0","true","0","0","10000000","0","0","40","8538757"
"17","0","8","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","9253401"
"18","0","8","0","0","100","0","0","0","0","50","0","true","0","0","10000000","0","0","40","8268385"
